"";"ID";"Commune";"Langue";"Canton";"Poids";"An_Debut";"An_Fin";"F_1";"F_2"
"Chalais";6232;"Chalais";"Français";"Valais";0,000366863294327006;1982;1987;-0,638204449460067;-1,71739930000425
"Chamblon";5904;"Chamblon";"Français";"Vaud";5,87629959618564e-05;1982;1987;0,310241463328368;1,03319637622022
"Chamoson";6022;"Chamoson";"Français";"Valais";0,000429318363604579;1982;1987;-1,83294262145191;-2,45745859940737
"Champagne";5553;"Champagne";"Français";"Vaud";8,8991846234284e-05;1982;1987;-0,570205993771028;0,308738347777564
"Champéry";6151;"Champéry";"Français";"Valais";0,000181753041737404;1982;1987;-1,20527630162605;-1,42913331350511
"Champoz";683;"Champoz";"Français";"Berne";2,725350959892e-05;1982;1987;-1,57240099278234;0,148459329531406
"Champtauroz";5812;"Champtauroz";"Français";"Vaud";1,73312790413336e-05;1982;1987;0,300620271296914;0,0986825986453829
"Champvent";5905;"Champvent";"Français";"Vaud";7,87001918667247e-05;1982;1987;-0,803948006673428;0,116101154488695
"Chancy";6611;"Chancy";"Français";"Genève";0,00012234782502369;1982;1987;1,81089139195226;0,716204498764807
"Chapelle (Glâne)";2066;"Chapelle (Glâne)";"Français";"Fribourg";3,88930234849073e-05;1982;1987;-0,295827545970254;-0,916870360162257
"Chardonne";5882;"Chardonne";"Français";"Vaud";0,000332771719675723;1982;1987;-0,312859539939582;1,08442501202722
"Château-d'Oex";5841;"Château-d'Oex";"Français";"Vaud";0,000346297158025914;1982;1987;-1,19638068263332;-0,598443983364266
"Châtel-Saint-Denis";2325;"Châtel-Saint-Denis";"Français";"Fribourg";0,00062839453050047;1982;1987;0,00536437823311648;-0,361012681928276
"Châtel-sur-Montsalvens";2128;"Châtel-sur-Montsalvens";"Français";"Fribourg";3,69936797219863e-05;1982;1987;0,521126438426219;-0,764108403765966
"Châtillon (FR)";2008;"Châtillon (FR)";"Français";"Fribourg";5,61198288237369e-05;1982;1987;0,331368610478846;-0,361014131632717
"Châtillon (JU)";6704;"Châtillon (JU)";"Français";"Jura";5,6962036943318e-05;1982;1987;2,63000559696508;-1,00305177536395
"Châtonnaye";2068;"Châtonnaye";"Français";"Fribourg";8,68389672042029e-05;1982;1987;0,861647055327595;-0,364134937936653
"Chavannes-de-Bogis";5707;"Chavannes-de-Bogis";"Français";"Vaud";8,19146568610766e-05;1982;1987;-0,896237302028065;1,27102921064545
"Chavannes-des-Bois";5708;"Chavannes-des-Bois";"Français";"Vaud";5,27408380041574e-05;1982;1987;0,0757339650063785;1,20936689112397
